epoch,train_loss,val_acc,lr
1,4.435372380359632,0.07696369636963696,0.01
2,3.95694489635772,0.12752475247524753,0.01
3,3.628935108834029,0.16567656765676567,0.01
4,3.295196240720615,0.21201320132013202,0.01
5,2.9985270495705763,0.266006600660066,0.01
6,2.692915309930631,0.30376237623762375,0.01
7,2.4389563290725853,0.3697689768976898,0.01
8,2.225393598572189,0.406996699669967,0.01
9,2.060881732495178,0.46693069306930696,0.01
10,1.9345524883606064,0.5052145214521452,0.01
11,1.8252758279092995,0.5048184818481848,0.01
12,1.7426229370032118,0.5437623762376238,0.01
13,1.6747529911603167,0.526072607260726,0.01
14,1.6104397355950495,0.5481188118811882,0.01
15,1.5570197526557905,0.5075907590759076,0.01
16,1.5160507793437707,0.5442904290429043,0.005
17,1.1762316571994567,0.6364356435643564,0.005
18,1.1126958867753616,0.6352475247524753,0.005
