epoch,train_loss,val_acc,lr
1,4.4189227466851895,0.05240924092409241,0.000992403876506104
2,4.09455517692745,0.09584158415841584,0.0009698463103929542
3,3.8498658945862676,0.1328052805280528,0.0009330127018922194
4,3.6914956285360274,0.14257425742574256,0.0008830222215594889
5,3.557259483516496,0.18547854785478549,0.0008213938048432695
6,3.433698465846514,0.1966996699669967,0.0007499999999999999
7,3.3249141052295346,0.22957095709570957,0.0006710100716628344
8,3.2248377614178008,0.23656765676567656,0.0005868240888334652
9,3.127569474132968,0.2526732673267327,0.0004999999999999999
10,3.02312341491941,0.27815181518151816,0.00041317591116653475
11,2.9334222293795555,0.29874587458745877,0.00032898992833716573
12,2.8515173405548775,0.323036303630363,0.00025000000000000006
13,2.7803341286842813,0.33887788778877886,0.00017860619515673028
14,2.7144063196831465,0.3464026402640264,0.00011697777844051103
15,2.6600358938387303,0.36092409240924095,6.698729810778074e-05
16,2.6246871443141795,0.3708250825082508,3.0153689607045835e-05
17,2.5884173085991766,0.37425742574257426,7.5961234938959885e-06
18,2.570007919985364,0.3819141914191419,0.0
