epoch,train_loss,val_acc,lr
1,4.34336572208315,0.08792079207920792,0.001
2,3.8441837534658228,0.15062706270627063,0.001
3,3.424672166618383,0.22125412541254125,0.001
4,3.0102216134048962,0.30613861386138613,0.001
5,2.667742868964101,0.3850825082508251,0.001
6,2.395372737489396,0.4264026402640264,0.001
7,2.1748447703923417,0.4768316831683168,0.001
8,1.9996315859712905,0.5044224422442244,0.001
9,1.8447264549737805,0.4984818481848185,0.001
10,1.712370666959476,0.5412541254125413,0.001
11,1.5952173670972456,0.573993399339934,0.001
12,1.497314551052913,0.5824422442244225,0.001
13,1.400786895231462,0.6015841584158416,0.001
14,1.3227688462171756,0.6069966996699669,0.001
15,1.2487500084048146,0.6187458745874588,0.001
16,1.1816309590434804,0.6161056105610561,0.001
17,1.1206088659139306,0.6275907590759076,0.001
18,1.0612034434408928,0.6476567656765676,0.001
