epoch,train_loss,val_acc,lr
1,4.404003161219924,0.08554455445544555,0.00992403876506104
2,3.8965714065121935,0.1316171617161716,0.009698463103929541
3,3.56370963244371,0.14323432343234324,0.009330127018922192
4,3.1939329400308814,0.21834983498349836,0.008830222215594888
5,2.844594553994461,0.3114191419141914,0.008213938048432694
6,2.5324037626875397,0.3827062706270627,0.007499999999999998
7,2.2757024646924693,0.4285148514851485,0.006710100716628343
8,2.062273113716376,0.4483168316831683,0.005868240888334651
9,1.879865531042708,0.4880528052805281,0.004999999999999998
10,1.715612682098514,0.5042904290429043,0.004131759111665347
11,1.5597072376331813,0.5601320132013201,0.0032898992833716566
12,1.4179701078665647,0.5911551155115512,0.0025000000000000005
13,1.2770245459158096,0.6060726072607261,0.0017860619515673026
14,1.135403191175819,0.6361716171617162,0.0011697777844051102
15,0.9993143982030976,0.6471287128712871,0.0006698729810778074
16,0.8783797310411651,0.6700990099009901,0.0003015368960704583
17,0.787075802278071,0.6774917491749175,7.596123493895987e-05
18,0.7371955288967617,0.6769636963696369,0.0
