epoch,train_loss,val_acc,lr
1,4.255749375607486,0.08382838283828382,0.001
2,3.810649294248769,0.12171617161716172,0.001
3,3.5439155735320327,0.18085808580858087,0.001
4,3.2981847192200138,0.21161716171617162,0.001
5,3.0856692099235428,0.220990099009901,0.001
6,2.8987153854728303,0.2726072607260726,0.001
7,2.739767102120628,0.2834323432343234,0.001
8,2.6097009862532636,0.32884488448844884,0.001
9,2.5004758739695303,0.35207920792079206,0.001
10,2.4052878469368664,0.3765016501650165,0.001
11,2.3348929283204773,0.4194059405940594,0.001
12,2.2696419866991713,0.3794059405940594,0.001
13,2.2136034146161148,0.42495049504950494,0.001
14,2.1668829265334795,0.433003300330033,0.001
15,2.120488875684604,0.42270627062706273,0.001
16,2.0836384549387184,0.42072607260726075,0.001
17,2.055458269880411,0.4291749174917492,0.001
