epoch,train_loss,val_acc,lr
1,4.280904477974619,0.0895049504950495,0.001
2,3.784687670855455,0.12778877887788778,0.001
3,3.365521627188848,0.2271947194719472,0.001
4,2.956547313788687,0.31564356435643565,0.001
5,2.6335542302736092,0.3904950495049505,0.001
6,2.3687351414855096,0.4285148514851485,0.001
7,2.151340411918264,0.4666666666666667,0.001
8,1.9696417298675144,0.49214521452145216,0.001
9,1.8126098664713577,0.53003300330033,0.001
10,1.6801489073345919,0.5471947194719472,0.001
11,1.5682009060058235,0.5699009900990099,0.001
12,1.4564788782260787,0.5796699669966997,0.001
13,1.3766732251420268,0.6043564356435643,0.001
14,1.2826176771675477,0.5927392739273928,0.001
15,1.2022756208556358,0.5970957095709571,0.001
16,1.1260267586495396,0.6021122112211221,0.001
