epoch,train_loss,val_acc,lr
1,4.379954227931063,0.08066006600660067,0.01
2,3.9411653706725214,0.13636963696369636,0.01
3,3.586377618010615,0.20132013201320131,0.01
4,3.253316251268969,0.2568976897689769,0.01
5,2.9254382329367696,0.2971617161716172,0.01
6,2.652800124435917,0.3563036303630363,0.01
7,2.445864730765562,0.41267326732673265,0.01
8,2.283335773849711,0.4302310231023102,0.01
9,2.1661007604408713,0.47234323432343234,0.01
10,2.08755410204471,0.4529372937293729,0.01
11,2.017480810847081,0.49399339933993397,0.01
12,1.9624892962090845,0.4549174917491749,0.01
13,1.9157260805648257,0.47049504950495047,0.005
14,1.565861067882446,0.5964356435643564,0.005
15,1.5190697849356511,0.6040924092409241,0.005
16,1.5061129570566991,0.595907590759076,0.005
17,1.4852182858986474,0.6121452145214521,0.005
18,1.4670855123112458,0.6113531353135313,0.005
