epoch,train_loss,val_acc,lr
1,4.389334149427817,0.08673267326732673,0.000992403876506104
2,3.920346893167272,0.12422442244224423,0.0009698463103929542
3,3.5356289438238724,0.21993399339933994,0.0009330127018922194
4,3.1656169062489075,0.2836963696369637,0.0008830222215594889
5,2.8424467806525073,0.3351815181518152,0.0008213938048432695
6,2.564385784875619,0.3919471947194719,0.0007499999999999999
7,2.335234714981536,0.40145214521452144,0.0006710100716628344
8,2.124109210206869,0.464026402640264,0.0005868240888334652
9,1.9629640011300504,0.4901650165016502,0.0004999999999999999
10,1.8058515171629723,0.5222442244224422,0.00041317591116653475
11,1.65757650905092,0.542970297029703,0.00032898992833716573
12,1.5247209913993665,0.565016501650165,0.00025000000000000006
13,1.4035829954443964,0.5787458745874587,0.00017860619515673028
14,1.2999251064035535,0.58996699669967,0.00011697777844051103
15,1.2066160972129572,0.5963036303630364,6.698729810778074e-05
16,1.1335623240456894,0.6051485148514851,3.0153689607045835e-05
17,1.0760778574176797,0.6073927392739273,7.5961234938959885e-06
18,1.0501539515357623,0.6117491749174917,0.0
