epoch,train_loss,val_acc,lr
1,4.498871336744425,0.06429042904290429,0.01
2,3.96237043103142,0.1314851485148515,0.01
3,3.6402853699357296,0.15854785478547856,0.01
4,3.331030359402509,0.19933993399339933,0.01
5,3.0221801867507434,0.26957095709570955,0.01
6,2.747413139388035,0.2863366336633663,0.01
7,2.499882988862588,0.34904290429042906,0.01
8,2.2755864933622836,0.3791419141914191,0.01
9,2.0896515086223264,0.4316831683168317,0.01
10,1.935761379524016,0.47115511551155115,0.01
11,1.8138696733215045,0.5087788778877887,0.01
12,1.6980425313045162,0.5045544554455446,0.01
13,1.6081190349910182,0.5091749174917491,0.01
14,1.5364740312938958,0.5359735973597359,0.01
15,1.4516947973502075,0.5458745874587458,0.01
16,1.391763600665079,0.565016501650165,0.01
17,1.331814861409541,0.5663366336633663,0.01
18,1.2812671689360355,0.5388778877887789,0.01
