epoch,train_loss,val_acc,lr
1,4.42069189223885,0.05887788778877888,0.001
2,4.0030708850269585,0.12303630363036304,0.001
3,3.635042433223814,0.1900990099009901,0.001
4,3.304867132224947,0.2462046204620462,0.001
5,2.9864290050497635,0.27524752475247527,0.001
6,2.7568593422571817,0.347986798679868,0.001
7,2.518711768125704,0.38983498349834983,0.001
8,2.3442994496072402,0.4175577557755776,0.001
9,2.1538963942740446,0.46072607260726073,0.001
10,2.000270961973589,0.4965016501650165,0.001
11,1.8521375347331097,0.5027062706270627,0.001
12,1.7304749155828092,0.5122112211221123,0.001
13,1.6253773345773768,0.5379537953795379,0.001
14,1.5263318041960399,0.5448184818481848,0.001
15,1.435442495269115,0.5570957095709571,0.001
16,1.357184312684995,0.5683168316831683,0.001
17,1.2765256181639124,0.5948514851485148,0.001
18,1.2102205770151435,0.5915511551155116,0.001
