epoch,train_loss,val_acc,lr
1,4.503625696030022,0.06481848184818483,0.01
2,4.001168868239497,0.11392739273927392,0.01
3,3.6573802189088203,0.18033003300330033,0.01
4,3.3197617085327007,0.18759075907590758,0.01
5,3.051985393667445,0.26996699669966995,0.01
6,2.7526344335135158,0.32818481848184816,0.01
7,2.4839101824961918,0.33755775577557756,0.01
8,2.264901276597395,0.4013201320132013,0.01
9,2.0784842612038195,0.4514851485148515,0.01
10,1.9149225021192167,0.4594059405940594,0.01
11,1.7979809894248353,0.4883168316831683,0.01
12,1.6853929557710745,0.5170957095709571,0.01
13,1.598172694976341,0.5102310231023103,0.01
14,1.5092267414773575,0.5163036303630363,0.005
15,1.2007906170518186,0.613993399339934,0.005
16,1.125543999448069,0.61993399339934,0.005
17,1.0739910843226832,0.6157095709570957,0.005
18,1.0302212267414506,0.6283828382838283,0.005
