epoch,train_loss,val_acc,lr
1,4.261446868645753,0.07247524752475247,0.001
2,3.8287814095546384,0.09980198019801981,0.001
3,3.5595081186070687,0.14455445544554454,0.001
4,3.3184620255035973,0.20567656765676567,0.001
5,3.121478034408999,0.21782178217821782,0.001
6,2.9430954951075883,0.2974257425742574,0.001
7,2.7797304643711573,0.3077227722772277,0.001
8,2.64544779571569,0.3111551155115512,0.001
9,2.528702812687332,0.32752475247524754,0.001
10,2.431270383669177,0.36475247524752474,0.001
11,2.3560770696317648,0.3423102310231023,0.001
12,2.2901070339578977,0.3922112211221122,0.001
13,2.2295360675999816,0.39894389438943895,0.001
14,2.185222570996889,0.42283828382838284,0.001
15,2.141117324179887,0.38904290429042904,0.001
16,2.0974097963789817,0.4405280528052805,0.001
17,2.068510986381853,0.4264026402640264,0.001
18,2.042102358710598,0.452013201320132,0.001
