epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,8105.97,0.47811,0.83889,0.96432,0.60195,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,8280.48,0.4447,0.83964,0.96444,0.60132,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,8459.53,0.42822,0.8404,0.96444,0.59979,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,8634.99,0.39859,0.84028,0.96455,0.59961,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,8811.03,0.37378,0.8404,0.96448,0.60053,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,8983.09,0.34924,0.84087,0.96463,0.59996,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,9157.75,0.32382,0.84186,0.96479,0.60139,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,9332.17,0.29917,0.84107,0.96471,0.60142,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,9507.04,0.27397,0.8415,0.96483,0.60392,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,9680.16,0.25419,0.84147,0.96459,0.60268,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,9854.23,0.23416,0.84226,0.96455,0.60677,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,10027.7,0.21599,0.84273,0.96448,0.60717,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,10201.1,0.19775,0.84202,0.96404,0.61085,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,10375.9,0.18186,0.84194,0.96388,0.61207,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
