Factor,Level,Mean Test Acc (%),Std Dev (%),N Runs
batch_size,16,57.39361936193619,15.026885743405254,9
batch_size,32,61.053025302530244,10.49450333801063,9
batch_size,64,62.789878987898796,8.729225001397971,9
optimizer,adam,46.46864686468646,8.082366883880152,9
optimizer,adamw,68.0972497249725,2.2428836025673897,9
optimizer,sgd,66.67062706270627,5.443070184917465,9
scheduler,cosine,64.3964796479648,10.570888966291841,9
scheduler,fixed,57.300770077007705,11.647603042938176,9
scheduler,plateau,59.53927392739274,12.336797513334295,9
