batch_size,optimizer,scheduler,best_val_acc,test_acc,epochs_run,train_time_min,tag
16,sgd,fixed,53.98019801980198,59.09306930693069,18,43.49170457919438,bs16_sgd_fixed
16,sgd,plateau,61.214521452145206,65.42970297029703,18,48.57623218297958,bs16_sgd_plateau
16,sgd,cosine,69.37293729372938,75.25148514851485,18,49.487236773967744,bs16_sgd_cosine
16,adam,fixed,31.92079207920792,35.928712871287125,18,39.331093732515974,bs16_adam_fixed
16,adam,plateau,32.831683168316836,37.231683168316835,18,47.32320327758789,bs16_adam_plateau
16,adam,cosine,38.19141914191419,41.78217821782178,18,47.50340123573939,bs16_adam_cosine
16,adamw,fixed,64.76567656765675,70.35643564356435,18,49.13910382588704,bs16_adamw_fixed
16,adamw,plateau,59.48514851485148,64.74851485148515,18,47.97103811899821,bs16_adamw_plateau
16,adamw,cosine,61.17491749174917,66.72079207920792,18,49.5716810186704,bs16_adamw_cosine
32,sgd,fixed,57.399339933993396,62.0039603960396,18,26.273222060998283,bs32_sgd_fixed
32,sgd,plateau,63.64356435643565,69.07326732673266,18,26.93864598671595,bs32_sgd_plateau
32,sgd,cosine,67.74917491749176,73.14455445544554,18,27.647919694582622,bs32_sgd_cosine
32,adam,fixed,40.99009900990099,45.473267326732675,18,30.804728301366172,bs32_adam_fixed
32,adam,plateau,39.63036303630363,44.64950495049505,18,32.45861389239629,bs32_adam_plateau
32,adam,cosine,49.26732673267327,54.13465346534654,18,29.871472720305125,bs32_adam_cosine
32,adamw,fixed,60.43564356435643,65.390099009901,16,28.116956317424773,bs32_adamw_fixed
32,adamw,plateau,63.39273927392739,67.71881188118812,18,31.08162976106008,bs32_adamw_plateau
32,adamw,cosine,62.244224422442244,67.8891089108911,18,31.683305458227792,bs32_adamw_cosine
64,sgd,fixed,56.63366336633663,60.906930693069306,18,19.61384695370992,bs64_sgd_fixed
64,sgd,plateau,62.838283828382835,67.3029702970297,18,19.09948550462723,bs64_sgd_plateau
64,sgd,cosine,62.97029702970297,67.82970297029703,18,19.191943148771923,bs64_sgd_cosine
64,adam,fixed,43.3003300330033,47.96831683168317,17,18.07929132382075,bs64_adam_fixed
64,adam,plateau,45.2013201320132,49.4059405940594,18,19.368129348754884,bs64_adam_plateau
64,adam,cosine,56.40924092409241,61.64356435643564,18,20.202969447771707,bs64_adam_cosine
64,adamw,fixed,63.458745874587464,68.5861386138614,18,20.78560374180476,bs64_adamw_fixed
64,adamw,plateau,65.28052805280528,70.29306930693069,18,19.80905646085739,bs64_adamw_plateau
64,adamw,cosine,65.75577557755776,71.17227722772277,18,19.221122817198435,bs64_adamw_cosine
