epoch,train_loss,val_top1_acc,val_top5_acc,lr,epoch_time_sec
1,0.9118669891861123,76.77887788778878,94.00660066006601,9.82962913144536e-06,2926.742269039154
2,0.4817277846639285,79.40594059405942,94.62706270627062,9.33012701892224e-06,2992.503884077072
3,0.2671337420969082,78.24422442244224,94.44224422442244,8.53553390593277e-06,3150.298089981079
4,0.16543634077228012,78.54785478547855,93.99339933993399,7.500000000000021e-06,3231.3753159046173
5,0.11146825671091046,78.25742574257426,93.72937293729373,6.294095225512623e-06,3243.2032840251923
6,0.0720882936105342,79.33993399339934,93.79537953795379,5.000000000000004e-06,3178.548476457596
7,0.03906064700737526,80.27722772277228,94.37623762376236,3.705904774487411e-06,2604.0453503131866
8,0.01565629462645927,80.64686468646865,94.44224422442244,2.5000000000000133e-06,2219.940367460251
9,0.0038794351505561614,81.5973597359736,94.82508250825083,1.4644660940672709e-06,2249.601462364197
10,0.0006587183723847071,81.94059405940594,94.98349834983499,6.698729810778093e-07,1859.9215731620789
11,0.00012448114198698124,82.1914191419142,94.996699669967,1.7037086855465947e-07,414.11373472213745
12,4.522047517165332e-05,82.28382838283828,95.009900990099,0.0,405.4828751087189
