epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.4401,4.59763,0.04343,0.15089,4.45209,0.00332709,0.00332709,0.0700562
2,145.081,4.32448,0.06284,0.21611,4.28172,0.00655053,0.00655053,0.0399463
3,213.241,4.08629,0.10455,0.31274,3.90018,0.00966396,0.00966396,0.00972639
4,283.846,3.793,0.14297,0.37109,3.69958,0.009505,0.009505,0.009505
5,355.495,3.51119,0.21201,0.48647,3.27306,0.00934,0.00934,0.00934
6,426.313,3.28463,0.27406,0.55908,3.02659,0.009175,0.009175,0.009175
7,497.855,3.10232,0.31749,0.61531,2.78657,0.00901,0.00901,0.00901
8,569.02,2.92407,0.35459,0.64977,2.62185,0.008845,0.008845,0.008845
9,640.58,2.78196,0.40317,0.69069,2.42053,0.00868,0.00868,0.00868
10,712.367,2.6376,0.43683,0.71789,2.26349,0.008515,0.008515,0.008515
11,784.487,2.52979,0.45281,0.73571,2.17584,0.00835,0.00835,0.00835
12,854.688,2.43118,0.49188,0.76185,2.02258,0.008185,0.008185,0.008185
13,925.208,2.34311,0.50587,0.77399,1.94503,0.00802,0.00802,0.00802
14,994.72,2.26925,0.5295,0.78917,1.868,0.007855,0.007855,0.007855
15,1064.48,2.18362,0.5497,0.80158,1.76407,0.00769,0.00769,0.00769
16,1135.15,2.11701,0.56238,0.8132,1.71673,0.007525,0.007525,0.007525
17,1204.44,2.0529,0.57426,0.82257,1.67191,0.00736,0.00736,0.00736
18,1274.19,2.00119,0.58878,0.83221,1.61706,0.007195,0.007195,0.007195
19,1344.62,1.94028,0.59234,0.83894,1.58105,0.00703,0.00703,0.00703
20,1415.15,1.8926,0.6029,0.84132,1.53795,0.006865,0.006865,0.006865
21,1486.44,1.8469,0.61399,0.84673,1.51055,0.0067,0.0067,0.0067
22,1557.09,1.8031,0.61822,0.8503,1.47894,0.006535,0.006535,0.006535
23,1627.7,1.75385,0.62508,0.85479,1.44997,0.00637,0.00637,0.00637
24,1698.78,1.71495,0.63023,0.85743,1.42355,0.006205,0.006205,0.006205
25,1768.03,1.66568,0.6338,0.86086,1.4059,0.00604,0.00604,0.00604
26,1837.77,1.62864,0.64053,0.86667,1.39093,0.005875,0.005875,0.005875
27,1907.8,1.59715,0.64502,0.86878,1.37717,0.00571,0.00571,0.00571
28,1979.08,1.55887,0.64752,0.8705,1.35766,0.005545,0.005545,0.005545
29,2049.25,1.52693,0.64964,0.87116,1.35397,0.00538,0.00538,0.00538
30,2119.07,1.49373,0.65267,0.87195,1.33533,0.005215,0.005215,0.005215
31,2188.66,1.45267,0.65584,0.87327,1.33702,0.00505,0.00505,0.00505
32,2258.68,1.42606,0.65769,0.87287,1.32547,0.004885,0.004885,0.004885
33,2330.29,1.38673,0.65993,0.87406,1.32718,0.00472,0.00472,0.00472
34,2401.06,1.36763,0.66218,0.87512,1.31156,0.004555,0.004555,0.004555
35,2472.73,1.32145,0.66482,0.87525,1.31362,0.00439,0.00439,0.00439
36,2544.1,1.30273,0.66785,0.87578,1.29731,0.004225,0.004225,0.004225
37,2615.23,1.27107,0.66931,0.87591,1.28993,0.00406,0.00406,0.00406
38,2687.21,1.2382,0.67102,0.87644,1.29408,0.003895,0.003895,0.003895
39,2759.38,1.19996,0.67195,0.8767,1.28303,0.00373,0.00373,0.00373
40,2829.33,1.15688,0.67208,0.87815,1.28481,0.003565,0.003565,0.003565
41,2899.2,1.14264,0.673,0.87894,1.28381,0.0034,0.0034,0.0034
42,2970.77,1.11247,0.67393,0.8796,1.26502,0.003235,0.003235,0.003235
43,3044.02,1.08894,0.67459,0.88079,1.27168,0.00307,0.00307,0.00307
44,3114.62,1.04604,0.67578,0.88079,1.2651,0.002905,0.002905,0.002905
45,3187.19,1.0274,0.6763,0.88053,1.27233,0.00274,0.00274,0.00274
46,3259.43,0.99328,0.6771,0.88172,1.25841,0.002575,0.002575,0.002575
47,3332.1,0.9565,0.67815,0.88238,1.26146,0.00241,0.00241,0.00241
48,3403.9,0.92013,0.67894,0.88343,1.25657,0.002245,0.002245,0.002245
49,3475.6,0.89898,0.68066,0.8833,1.25535,0.00208,0.00208,0.00208
50,3548.31,0.87068,0.68211,0.88409,1.24724,0.001915,0.001915,0.001915
51,3619.03,0.84133,0.68277,0.88475,1.24647,0.00175,0.00175,0.00175
52,3691.53,0.79862,0.68436,0.88488,1.23416,0.001585,0.001585,0.001585
53,3763.13,0.77209,0.68713,0.88502,1.24335,0.00142,0.00142,0.00142
54,3833.86,0.75325,0.68858,0.88581,1.22959,0.001255,0.001255,0.001255
55,3904.38,0.72116,0.6895,0.88568,1.22711,0.00109,0.00109,0.00109
56,3974.56,0.68575,0.69069,0.88607,1.22409,0.000925,0.000925,0.000925
57,4045.78,0.65088,0.69122,0.88634,1.23829,0.00076,0.00076,0.00076
58,4115.37,0.62021,0.69175,0.88726,1.22643,0.000595,0.000595,0.000595
59,4185.67,0.60297,0.69241,0.88713,1.22018,0.00043,0.00043,0.00043
60,4256.5,0.58809,0.6932,0.8862,1.22865,0.000265,0.000265,0.000265
