epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,134.496,4.53347,0.06165,0.21399,4.24879,0.00333021,0.00333021,0.0700281
2,266.319,4.12134,0.11446,0.31063,3.88565,0.00655359,0.00655359,0.0399182
3,397.376,3.70631,0.22218,0.4969,3.24029,0.00966698,0.00966698,0.00969825
4,527.676,3.2945,0.30125,0.59142,2.86469,0.009505,0.009505,0.009505
5,658.082,2.91947,0.39683,0.6895,2.4079,0.00934,0.00934,0.00934
6,800.11,2.65583,0.46389,0.74799,2.10677,0.009175,0.009175,0.009175
7,940.494,2.45446,0.51894,0.78191,1.8943,0.00901,0.00901,0.00901
8,1079.3,2.30143,0.55195,0.81096,1.74633,0.008845,0.008845,0.008845
9,1222.12,2.1849,0.5798,0.83182,1.6255,0.00868,0.00868,0.00868
10,1364.01,2.08724,0.59789,0.84475,1.54478,0.008515,0.008515,0.008515
11,1506.84,1.98904,0.62337,0.85122,1.46488,0.00835,0.00835,0.00835
12,1645.69,1.92038,0.63551,0.86073,1.40957,0.008185,0.008185,0.008185
13,1785.65,1.84982,0.64845,0.86548,1.36584,0.00802,0.00802,0.00802
14,1924.21,1.79093,0.65452,0.87089,1.34374,0.007855,0.007855,0.007855
15,2058.92,1.73392,0.65941,0.87446,1.30033,0.00769,0.00769,0.00769
16,2191.56,1.68677,0.66323,0.87683,1.28722,0.007525,0.007525,0.007525
17,2326.12,1.64059,0.66997,0.88132,1.27125,0.00736,0.00736,0.00736
18,2458.77,1.59551,0.67578,0.88356,1.25184,0.007195,0.007195,0.007195
19,2589.86,1.56378,0.67776,0.88541,1.23027,0.00703,0.00703,0.00703
20,2717.23,1.52262,0.68053,0.88792,1.22143,0.006865,0.006865,0.006865
21,2850.03,1.48801,0.68264,0.89043,1.20747,0.0067,0.0067,0.0067
22,2982.82,1.45392,0.68568,0.89215,1.20044,0.006535,0.006535,0.006535
23,3112.72,1.41864,0.68858,0.89307,1.18527,0.00637,0.00637,0.00637
24,3241.69,1.3907,0.69267,0.89479,1.16861,0.006205,0.006205,0.006205
25,3366.38,1.35837,0.69558,0.8965,1.16008,0.00604,0.00604,0.00604
26,3499.05,1.33552,0.69914,0.89875,1.15042,0.005875,0.005875,0.005875
27,3625.37,1.30129,0.70218,0.9002,1.14172,0.00571,0.00571,0.00571
28,3743.65,1.27989,0.70601,0.90033,1.12053,0.005545,0.005545,0.005545
29,3847.85,1.25488,0.70799,0.90231,1.11397,0.00538,0.00538,0.00538
30,3965.11,1.22646,0.71142,0.90389,1.094,0.005215,0.005215,0.005215
31,4077.43,1.20425,0.71551,0.90574,1.09334,0.00505,0.00505,0.00505
32,4193.68,1.18012,0.71842,0.9068,1.07678,0.004885,0.004885,0.004885
33,4309.49,1.15255,0.72026,0.90825,1.07652,0.00472,0.00472,0.00472
34,4429.69,1.12358,0.7229,0.90957,1.05798,0.004555,0.004555,0.004555
35,4550.45,1.10191,0.72515,0.91155,1.05583,0.00439,0.00439,0.00439
36,4672.04,1.07787,0.72805,0.913,1.03647,0.004225,0.004225,0.004225
37,4796.66,1.05776,0.73267,0.91472,1.01943,0.00406,0.00406,0.00406
38,4914.9,1.03739,0.73452,0.91604,1.01388,0.003895,0.003895,0.003895
39,5037.87,1.00556,0.73677,0.9167,1.0017,0.00373,0.00373,0.00373
40,5158.05,0.98621,0.73927,0.91789,0.99888,0.003565,0.003565,0.003565
41,5278.96,0.96265,0.74125,0.9196,0.99218,0.0034,0.0034,0.0034
42,5396.98,0.93745,0.74244,0.92106,0.97852,0.003235,0.003235,0.003235
43,5513.54,0.909,0.74508,0.92132,0.97378,0.00307,0.00307,0.00307
44,5634.89,0.88037,0.74667,0.92198,0.96641,0.002905,0.002905,0.002905
45,5757.17,0.86195,0.74772,0.92185,0.96635,0.00274,0.00274,0.00274
46,5878.14,0.83772,0.74825,0.92158,0.95278,0.002575,0.002575,0.002575
47,6002.07,0.81386,0.75023,0.92238,0.949,0.00241,0.00241,0.00241
48,6121.46,0.7894,0.75129,0.92343,0.9531,0.002245,0.002245,0.002245
49,6240.1,0.76491,0.75248,0.9237,0.94228,0.00208,0.00208,0.00208
50,6356.72,0.73049,0.75525,0.92436,0.93132,0.001915,0.001915,0.001915
51,6473.42,0.70354,0.7567,0.92568,0.93432,0.00175,0.00175,0.00175
52,6584.17,0.68301,0.75894,0.9266,0.92107,0.001585,0.001585,0.001585
53,6694.85,0.65176,0.76066,0.92607,0.92885,0.00142,0.00142,0.00142
54,6804.09,0.62741,0.76264,0.92647,0.91698,0.001255,0.001255,0.001255
55,6911.52,0.59546,0.76502,0.9266,0.91339,0.00109,0.00109,0.00109
56,7022.22,0.56556,0.76502,0.92647,0.91014,0.000925,0.000925,0.000925
57,7136.03,0.54501,0.76634,0.92554,0.92277,0.00076,0.00076,0.00076
58,7243.07,0.51309,0.76845,0.92594,0.91116,0.000595,0.000595,0.000595
59,7353.78,0.48935,0.76805,0.92568,0.91078,0.00043,0.00043,0.00043
60,7459.28,0.47193,0.76884,0.92594,0.92019,0.000265,0.000265,0.000265
