epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.5744,4.61679,0.02363,0.09452,4.57597,0.00332085,0.00332085,0.0701124
2,78.2061,4.47365,0.05122,0.16924,4.38711,0.00654439,0.00654439,0.0400026
3,116.164,4.30944,0.0668,0.21413,4.2468,0.00965793,0.00965793,0.00978277
4,153.366,4.13634,0.07512,0.24752,4.10099,0.009505,0.009505,0.009505
5,191.911,3.98019,0.10561,0.31366,3.92432,0.00934,0.00934,0.00934
6,229.624,3.81339,0.1431,0.35894,3.71479,0.009175,0.009175,0.009175
7,267.034,3.66661,0.16898,0.43036,3.50905,0.00901,0.00901,0.00901
8,305.214,3.53369,0.18917,0.43921,3.45071,0.008845,0.008845,0.008845
9,343.239,3.41624,0.19116,0.44832,3.44586,0.00868,0.00868,0.00868
10,379.698,3.31557,0.22205,0.49188,3.2701,0.008515,0.008515,0.008515
11,416.705,3.19037,0.24594,0.53188,3.11063,0.00835,0.00835,0.00835
12,454.649,3.1003,0.29149,0.57531,2.93112,0.008185,0.008185,0.008185
13,490.821,3.0097,0.30667,0.60409,2.82093,0.00802,0.00802,0.00802
14,528.673,2.89718,0.32845,0.61663,2.75565,0.007855,0.007855,0.007855
15,566.61,2.8428,0.33677,0.62785,2.7044,0.00769,0.00769,0.00769
16,604.766,2.75109,0.35842,0.6495,2.6279,0.007525,0.007525,0.007525
17,642.219,2.67294,0.39208,0.67736,2.46809,0.00736,0.00736,0.00736
18,680.703,2.59793,0.40277,0.68739,2.43334,0.007195,0.007195,0.007195
19,718.701,2.54147,0.42535,0.70495,2.3294,0.00703,0.00703,0.00703
20,757.466,2.46278,0.4301,0.70614,2.32232,0.006865,0.006865,0.006865
21,795.842,2.40542,0.44779,0.72383,2.20843,0.0067,0.0067,0.0067
22,834.683,2.34915,0.45888,0.73637,2.18627,0.006535,0.006535,0.006535
23,872.974,2.28351,0.4734,0.74917,2.10352,0.00637,0.00637,0.00637
24,910.865,2.21982,0.48581,0.7567,2.05723,0.006205,0.006205,0.006205
25,948.873,2.1771,0.49703,0.76779,2.00156,0.00604,0.00604,0.00604
26,986.65,2.13432,0.50191,0.7736,1.97936,0.005875,0.005875,0.005875
27,1024.33,2.07868,0.51366,0.77637,1.93854,0.00571,0.00571,0.00571
28,1062.27,2.03309,0.52343,0.78139,1.90465,0.005545,0.005545,0.005545
29,1100.01,1.96812,0.52726,0.78851,1.87086,0.00538,0.00538,0.00538
30,1137.71,1.91514,0.53558,0.793,1.8554,0.005215,0.005215,0.005215
31,1175,1.87828,0.54205,0.79591,1.82678,0.00505,0.00505,0.00505
32,1211.86,1.84492,0.54667,0.79921,1.80795,0.004885,0.004885,0.004885
33,1249.04,1.79669,0.55221,0.80264,1.80336,0.00472,0.00472,0.00472
34,1287.23,1.74269,0.55274,0.80713,1.77259,0.004555,0.004555,0.004555
35,1324.61,1.71451,0.56106,0.80779,1.77178,0.00439,0.00439,0.00439
36,1361.75,1.67587,0.56264,0.81413,1.74418,0.004225,0.004225,0.004225
37,1398.86,1.63535,0.56211,0.81426,1.721,0.00406,0.00406,0.00406
38,1436.1,1.58802,0.57215,0.8165,1.71585,0.003895,0.003895,0.003895
39,1473.4,1.5599,0.57373,0.81901,1.6962,0.00373,0.00373,0.00373
40,1510.81,1.50771,0.57347,0.81888,1.70453,0.003565,0.003565,0.003565
41,1548.82,1.47733,0.5765,0.82059,1.69562,0.0034,0.0034,0.0034
42,1586.84,1.4162,0.57848,0.82271,1.67427,0.003235,0.003235,0.003235
43,1624.43,1.41795,0.58073,0.82323,1.68073,0.00307,0.00307,0.00307
44,1662.61,1.34947,0.58442,0.82337,1.66764,0.002905,0.002905,0.002905
45,1700.23,1.33748,0.58772,0.82587,1.66961,0.00274,0.00274,0.00274
46,1738.27,1.27795,0.58799,0.82693,1.64891,0.002575,0.002575,0.002575
47,1776.9,1.25006,0.59102,0.82904,1.64912,0.00241,0.00241,0.00241
48,1815.72,1.20573,0.5934,0.83023,1.65345,0.002245,0.002245,0.002245
49,1855.04,1.15809,0.59287,0.82957,1.6455,0.00208,0.00208,0.00208
50,1893.92,1.1319,0.59129,0.82865,1.64393,0.001915,0.001915,0.001915
51,1934.19,1.10255,0.59274,0.83063,1.64205,0.00175,0.00175,0.00175
52,1972.2,1.05028,0.59644,0.83142,1.63416,0.001585,0.001585,0.001585
53,2010.54,1.02134,0.59881,0.83168,1.63984,0.00142,0.00142,0.00142
54,2048.91,0.97472,0.59868,0.83208,1.63216,0.001255,0.001255,0.001255
55,2087.07,0.94926,0.59921,0.83353,1.63216,0.00109,0.00109,0.00109
56,2124.97,0.9261,0.59842,0.83327,1.63423,0.000925,0.000925,0.000925
57,2163.41,0.88937,0.59723,0.83208,1.64563,0.00076,0.00076,0.00076
58,2200.71,0.85716,0.59934,0.83221,1.64479,0.000595,0.000595,0.000595
59,2238.74,0.82118,0.59947,0.83142,1.63843,0.00043,0.00043,0.00043
60,2277.04,0.82117,0.59947,0.83182,1.64861,0.000265,0.000265,0.000265
