prompt_style,top1_acc,top5_acc
"a photo of {class}, a type of food",84.18613861386139,97.36237623762376
ENSEMBLE (avg of all 5),84.14257425742574,97.47722772277227
"{class}, a food dish",83.85742574257425,97.4138613861386
a dish of {class},83.65148514851485,97.1960396039604
an image of {class} food,82.58217821782178,97.06930693069307
a photo of {class},80.16633663366338,96.07524752475247
