K,train_images,mean_test_acc,std_test_acc,min_test_acc,max_test_acc,modal_C,vs_zeroshot_pts
1,101,41.300594059405945,2.4639752836844746,37.3980198019802,43.611881188118815,100.0,-42.88940594059405
2,202,54.86732673267327,1.8762143732721681,52.748514851485155,57.91683168316831,100.0,-29.322673267326728
4,404,67.21425742574259,0.7330617113181718,66.10693069306932,68.05148514851486,100.0,-16.97574257425741
8,808,75.6918811881188,0.5113621283888306,75.00198019801981,76.26534653465346,10.0,-8.498118811881199
16,1616,80.24237623762376,0.36988275656292685,79.73861386138614,80.66138613861386,10.0,-3.9476237623762387
