prompt_style,top1_acc,top5_acc
a photo of {class},92.00792079207922,99.04554455445545
ENSEMBLE (avg of all 5),91.75049504950495,99.05346534653465
a dish of {class},91.71485148514851,98.95049504950495
"a photo of {class}, a type of food",91.61980198019802,98.99009900990099
"{class}, a food dish",91.07722772277228,98.91485148514852
an image of {class} food,87.71485148514851,98.22178217821782
