model,objective,patch_tokens,embed_dim,top1_acc,delta_vs_clip
CLIP ViT-B/32,softmax contrastive,49,512,84.19,0.0
SigLIP base/16,pairwise sigmoid,196,768,91.61980198019802,7.429801980198022
