epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.605,4.56296,0.05228,0.18218,4.3375,0.00332916,0.00332916,0.0700375
2,198.732,4.21766,0.09743,0.29096,3.95179,0.00655256,0.00655256,0.0399276
3,295.561,3.89786,0.14653,0.36766,3.71071,0.00966597,0.00966597,0.00970768
4,392.302,3.53514,0.23406,0.50231,3.19197,0.009505,0.009505,0.009505
5,488.783,3.20605,0.29822,0.58535,2.87238,0.00934,0.00934,0.00934
6,586.216,2.94126,0.37109,0.6664,2.52763,0.009175,0.009175,0.009175
7,683.718,2.7331,0.42376,0.70983,2.30863,0.00901,0.00901,0.00901
8,780.93,2.5664,0.48132,0.76515,2.04886,0.008845,0.008845,0.008845
9,878.893,2.42473,0.51459,0.78601,1.89339,0.00868,0.00868,0.00868
10,975.677,2.30298,0.5464,0.80172,1.786,0.008515,0.008515,0.008515
11,1072.34,2.20021,0.57017,0.81809,1.69834,0.00835,0.00835,0.00835
12,1169.82,2.10879,0.59102,0.8297,1.60053,0.008185,0.008185,0.008185
13,1267.48,2.02634,0.59947,0.84198,1.54128,0.00802,0.00802,0.00802
14,1363.85,1.96611,0.61254,0.84884,1.50624,0.007855,0.007855,0.007855
15,1461.73,1.90358,0.62799,0.8536,1.4332,0.00769,0.00769,0.00769
16,1559.09,1.84816,0.63459,0.85941,1.40915,0.007525,0.007525,0.007525
17,1655.99,1.78975,0.64224,0.86548,1.37457,0.00736,0.00736,0.00736
18,1753.85,1.74383,0.65017,0.87023,1.34889,0.007195,0.007195,0.007195
19,1851.79,1.69228,0.65479,0.8738,1.32004,0.00703,0.00703,0.00703
20,1948.76,1.652,0.65756,0.8763,1.30485,0.006865,0.006865,0.006865
21,2046.82,1.61729,0.66205,0.87842,1.28827,0.0067,0.0067,0.0067
22,2144.17,1.56753,0.66601,0.87934,1.2796,0.006535,0.006535,0.006535
23,2241.08,1.53857,0.6697,0.88132,1.27059,0.00637,0.00637,0.00637
24,2337.99,1.50794,0.67155,0.88277,1.25466,0.006205,0.006205,0.006205
25,2435.44,1.46222,0.67406,0.88462,1.24439,0.00604,0.00604,0.00604
26,2532.39,1.43166,0.67657,0.887,1.23871,0.005875,0.005875,0.005875
27,2630.98,1.3983,0.67868,0.88726,1.23532,0.00571,0.00571,0.00571
28,2728.86,1.36911,0.68092,0.88845,1.21874,0.005545,0.005545,0.005545
29,2826.3,1.3399,0.68383,0.8899,1.21496,0.00538,0.00538,0.00538
30,2923.83,1.31472,0.68634,0.89056,1.20023,0.005215,0.005215,0.005215
31,3021.29,1.27662,0.68792,0.89122,1.19986,0.00505,0.00505,0.00505
32,3118.54,1.25785,0.69109,0.89254,1.18743,0.004885,0.004885,0.004885
33,3214.85,1.22797,0.69201,0.89426,1.19324,0.00472,0.00472,0.00472
34,3313.45,1.20218,0.69307,0.89505,1.17603,0.004555,0.004555,0.004555
35,3411.12,1.17181,0.69571,0.89597,1.17595,0.00439,0.00439,0.00439
36,3507.55,1.14368,0.69901,0.89597,1.15652,0.004225,0.004225,0.004225
37,3605.88,1.11554,0.70205,0.89756,1.14408,0.00406,0.00406,0.00406
38,3703.68,1.08964,0.7035,0.89848,1.14157,0.003895,0.003895,0.003895
39,3800.07,1.0695,0.70627,0.89914,1.12996,0.00373,0.00373,0.00373
40,3896.94,1.03896,0.70997,0.89967,1.13241,0.003565,0.003565,0.003565
41,3994.35,1.00915,0.71366,0.90086,1.12134,0.0034,0.0034,0.0034
42,4092.98,0.98628,0.71617,0.90205,1.10597,0.003235,0.003235,0.003235
43,4190.77,0.95814,0.71894,0.90271,1.10624,0.00307,0.00307,0.00307
44,4297.17,0.9295,0.72,0.9031,1.0944,0.002905,0.002905,0.002905
45,4404.24,0.89866,0.72224,0.9035,1.09694,0.00274,0.00274,0.00274
46,4511.63,0.88346,0.72383,0.90284,1.08539,0.002575,0.002575,0.002575
47,4617.35,0.8497,0.72502,0.90442,1.08102,0.00241,0.00241,0.00241
48,4724.04,0.81995,0.72673,0.90455,1.07739,0.002245,0.002245,0.002245
49,4829.16,0.7878,0.72739,0.9064,1.0735,0.00208,0.00208,0.00208
50,4934.02,0.77868,0.7303,0.90746,1.06582,0.001915,0.001915,0.001915
51,5034.1,0.73804,0.73215,0.90851,1.0596,0.00175,0.00175,0.00175
52,5133.36,0.70562,0.73413,0.90759,1.04808,0.001585,0.001585,0.001585
53,5233.73,0.68182,0.73479,0.90878,1.05467,0.00142,0.00142,0.00142
54,5334.89,0.65249,0.73703,0.90944,1.04162,0.001255,0.001255,0.001255
55,5437.5,0.62701,0.73756,0.91063,1.03774,0.00109,0.00109,0.00109
56,5538.99,0.5929,0.73822,0.91089,1.03277,0.000925,0.000925,0.000925
57,5640.52,0.57916,0.73914,0.91208,1.04421,0.00076,0.00076,0.00076
58,5741.03,0.5472,0.73993,0.91155,1.03282,0.000595,0.000595,0.000595
59,5843.46,0.51729,0.74125,0.91182,1.02963,0.00043,0.00043,0.00043
60,5945.73,0.50467,0.74191,0.91234,1.0378,0.000265,0.000265,0.000265
